tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.35,0.1429,42,Deterrence,49.6,23.256,0.0755,0.0896,0.3357,Deterrence,48.624,23.233,0.0776,0.0887,-0.976,-0.023,0
0.35,0.1429,123,Deterrence,48.352,23.941,0.0771,0.0933,0.3275,Deterrence,47.992,23.948,0.0779,0.093,-0.36,0.008,0
0.35,0.1429,777,Deterrence,48.692,24.401,0.0782,0.0944,0.337,Deterrence,49.369,23.87,0.0767,0.0919,0.678,-0.531,0
0.35,0.1429,999,Deterrence,49.798,22.471,0.0752,0.0854,0.3373,Deterrence,50.21,22.209,0.0744,0.0842,0.412,-0.262,0
0.35,0.1429,2024,Deterrence,49.218,22.904,0.0763,0.0876,0.3345,Deterrence,49.415,22.593,0.0759,0.0859,0.196,-0.311,0
0.35,0.2143,42,Deterrence,35.908,25.01,0.1129,0.0869,0.3289,Deterrence,36.037,25.483,0.1122,0.0895,0.129,0.473,0
0.35,0.2143,123,Deterrence,33.453,25.848,0.1196,0.0895,0.3262,Deterrence,34.007,26.343,0.1186,0.0918,0.554,0.495,0
0.35,0.2143,777,Deterrence,35.199,24.916,0.1147,0.086,0.3278,Deterrence,36.507,25.038,0.1114,0.0874,1.307,0.122,0
0.35,0.2143,999,Deterrence,34.007,26.48,0.1206,0.0907,0.3385,Deterrence,34.75,26.254,0.1187,0.0897,0.744,-0.226,0
0.35,0.2143,2024,Deterrence,35.223,25.722,0.1163,0.0886,0.3355,Deterrence,36.071,25.48,0.1133,0.0886,0.848,-0.242,0
0.35,0.2857,42,Deterrence,23.502,27.595,0.1502,0.0898,0.323,Deterrence,24.624,27.369,0.148,0.0889,1.122,-0.226,0
0.35,0.2857,123,Deterrence,23.872,27.003,0.1493,0.087,0.3242,Deterrence,23.715,26.915,0.1498,0.0862,-0.158,-0.088,0
0.35,0.2857,777,Deterrence,20.905,28.41,0.1569,0.0935,0.3166,Deterrence,23.353,26.798,0.1503,0.0859,2.447,-1.612,0
0.35,0.2857,999,Deterrence,23.936,27.645,0.151,0.0887,0.3304,Deterrence,25.003,26.446,0.1482,0.0832,1.067,-1.199,0
0.35,0.2857,2024,Deterrence,23.879,27.552,0.1505,0.0893,0.3257,Deterrence,24.009,26.07,0.1493,0.083,0.13,-1.482,0
