tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.4,0.3571,42,Transition,13.597,31.445,0.197,0.0864,0.3758,Transition,11.409,32.602,0.2035,0.0907,-2.188,1.157,0
0.4,0.3571,123,Transition,14.663,30.926,0.1923,0.087,0.3671,Transition,14.402,31.657,0.1921,0.0912,-0.261,0.731,0
0.4,0.3571,777,Deterrence,15.603,30.505,0.1901,0.0854,0.3686,Transition,14.481,30.958,0.1928,0.0879,-1.122,0.454,1
0.4,0.3571,999,Transition,9.343,32.04,0.2089,0.088,0.3643,Transition,13.933,31.044,0.196,0.0853,4.59,-0.996,0
0.4,0.3571,2024,Transition,12.174,31.315,0.2,0.0876,0.3629,Transition,12.828,31.143,0.1967,0.0877,0.654,-0.173,0
0.4,0.4286,42,Transition,5.168,33.269,0.2288,0.0871,0.3738,Transition,5.006,33.229,0.2292,0.0864,-0.163,-0.04,0
0.4,0.4286,123,Transition,2.614,31.472,0.234,0.0804,0.3558,Transition,2.089,33.434,0.238,0.085,-0.525,1.962,0
0.4,0.4286,777,Transition,1.268,33.376,0.2371,0.0886,0.3549,Transition,4.061,32.756,0.2315,0.0839,2.793,-0.62,0
0.4,0.4286,999,Transition,1.656,33.708,0.2404,0.0875,0.3681,Transition,1.443,33.836,0.2405,0.0888,-0.212,0.127,0
0.4,0.4286,2024,Transition,5.222,33.151,0.229,0.0884,0.3667,Transition,2.96,32.949,0.236,0.0867,-2.263,-0.202,0
0.4,0.5,42,Transition,-7.124,34.554,0.2744,0.0859,0.3578,Transition,-7.879,34.64,0.2766,0.086,-0.755,0.086,0
0.4,0.5,123,Escalation,-33.321,44.996,0.3714,0.1129,0.3581,Transition,-8.049,34.127,0.2777,0.0812,25.272,-10.869,1
0.4,0.5,777,Transition,-9.401,35.446,0.28,0.0907,0.3498,Transition,-7.073,34.602,0.2741,0.0844,2.328,-0.844,0
0.4,0.5,999,Transition,-10.039,35.192,0.2835,0.0892,0.3486,Transition,-5.299,34.104,0.2674,0.0858,4.74,-1.087,0
0.4,0.5,2024,Transition,-6.549,34.855,0.2729,0.0874,0.3594,Transition,-7.214,34.895,0.2749,0.0874,-0.665,0.039,0
0.45,0.0,42,Deterrence,86.244,27.245,0.0,0.1395,0.4443,Deterrence,86.135,27.403,0.0,0.1402,-0.11,0.158,0
0.45,0.0,123,Deterrence,86.244,30.16,0.0,0.1546,0.4442,Deterrence,86.135,31.863,0.0,0.1636,-0.109,1.704,0
0.45,0.0,777,Deterrence,86.262,33.065,0.0,0.1698,0.4448,Deterrence,86.135,34.24,0.0,0.1759,-0.127,1.175,0
0.45,0.0,999,Deterrence,86.249,31.112,0.0,0.1596,0.4442,Deterrence,86.135,27.745,0.0,0.1419,-0.114,-3.367,0
0.45,0.0,2024,Deterrence,86.246,31.827,0.0,0.1634,0.4444,Deterrence,86.135,33.04,0.0,0.1697,-0.111,1.213,0
0.45,0.0714,42,Deterrence,69.712,23.943,0.0387,0.1014,0.4446,Deterrence,70.655,20.811,0.0362,0.0864,0.942,-3.131,0
0.45,0.0714,123,Deterrence,70.899,20.65,0.036,0.0859,0.4445,Deterrence,70.715,20.896,0.0361,0.0869,-0.184,0.246,0
0.45,0.0714,777,Deterrence,68.365,23.817,0.0417,0.0998,0.4338,Deterrence,70.705,20.824,0.0361,0.0865,2.34,-2.994,0
0.45,0.0714,999,Deterrence,67.265,29.67,0.0445,0.128,0.4445,Deterrence,70.685,20.787,0.0362,0.0863,3.421,-8.883,0
0.45,0.0714,2024,Deterrence,70.897,21.06,0.036,0.088,0.4447,Deterrence,70.638,20.82,0.0363,0.0864,-0.259,-0.24,0
0.45,0.1429,42,Deterrence,54.588,24.193,0.0779,0.0843,0.4374,Deterrence,53.821,24.769,0.0795,0.0863,-0.767,0.576,0
