x_val,y_val,seed,mean_lpay
0.2143,0.4000,1031,28.0228
0.2857,0.4000,42,-1.6979
0.2857,0.4000,123,5.7519
0.2857,0.4000,777,-2.0520
0.2857,0.4000,999,1.0933
0.2857,0.4000,2024,17.9218
0.2857,0.4000,314,17.7852
0.2857,0.4000,1066,7.5498
0.2857,0.4000,53,14.2557
0.2857,0.4000,160,10.1947
0.2857,0.4000,1031,12.9115
0.3571,0.4000,42,-1.8234
0.3571,0.4000,123,1.1554
0.3571,0.4000,777,-8.5036
0.3571,0.4000,999,-4.8647
0.3571,0.4000,2024,-3.1195
0.3571,0.4000,314,-22.8578
0.3571,0.4000,1066,-8.3848
0.3571,0.4000,53,0.9921
0.3571,0.4000,160,-9.9546
0.3571,0.4000,1031,-2.4374
0.4286,0.4000,42,-27.2918
0.4286,0.4000,123,-8.8534
0.4286,0.4000,777,-12.2494
0.4286,0.4000,999,-17.8470
0.4286,0.4000,2024,-13.1503
0.4286,0.4000,314,-18.8315
0.4286,0.4000,1066,-30.7014
0.4286,0.4000,53,-4.3491
0.4286,0.4000,160,-13.3158
0.4286,0.4000,1031,-8.2923
0.5000,0.4000,42,-11.3586
0.5000,0.4000,123,-10.6476
0.5000,0.4000,777,-35.4041
0.5000,0.4000,999,-16.0116
0.5000,0.4000,2024,-19.3226
0.5000,0.4000,314,-20.7410
0.5000,0.4000,1066,-29.8491
0.5000,0.4000,53,-7.9857
0.5000,0.4000,160,-20.0562
0.5000,0.4000,1031,-20.1299
0.0000,0.4500,42,86.2459
0.0000,0.4500,123,86.2759
0.0000,0.4500,777,86.1976
0.0000,0.4500,999,86.2836
0.0000,0.4500,2024,86.2664
0.0000,0.4500,314,86.2751
0.0000,0.4500,1066,86.2656
0.0000,0.4500,53,86.2524
0.0000,0.4500,160,86.2878
0.0000,0.4500,1031,86.2786
0.0714,0.4500,42,71.5263
0.0714,0.4500,123,63.0327
0.0714,0.4500,777,70.2521
0.0714,0.4500,999,61.5294
0.0714,0.4500,2024,66.8221
0.0714,0.4500,314,64.1693
0.0714,0.4500,1066,65.0411
0.0714,0.4500,53,66.6618
0.0714,0.4500,160,67.3598
0.0714,0.4500,1031,66.8940
0.1429,0.4500,42,44.9953
0.1429,0.4500,123,48.6773
0.1429,0.4500,777,43.3555
0.1429,0.4500,999,49.4623
0.1429,0.4500,2024,44.9704
0.1429,0.4500,314,43.2880
0.1429,0.4500,1066,47.7792
0.1429,0.4500,53,53.9722
0.1429,0.4500,160,42.1457
0.1429,0.4500,1031,47.7172
0.2143,0.4500,42,18.5605
0.2143,0.4500,123,32.0146
0.2143,0.4500,777,37.1842
